country,company,isin,symbol,combined
germany,Solar-Fabrik AG,DE0006614712,SFXG,Solar-Fabrik AG | DE0006614712
germany,Surteco SE,DE0005176903,SURG,Surteco SE | DE0005176903
germany,Expedeon,DE000A2YN801,EXNGn,Expedeon | DE000A2YN801
germany,Syzygy AG,DE0005104806,SYZG,Syzygy AG | DE0005104806
germany,Technotrans AG,DE000A0XYGA7,TTRGn,Technotrans AG | DE000A0XYGA7
germany,11 88 0 Solutions,DE0005118806,TGTG,11 88 0 Solutions | DE0005118806
germany,HolidayCheck,DE0005495329,HOC,HolidayCheck | DE0005495329
germany,Travel24.Com AG,DE000A0L1NQ8,TVDGk,Travel24.Com AG | DE000A0L1NQ8
germany,Ultrasonic AG,DE000A1KREX3,US5,Ultrasonic AG | DE000A1KREX3
germany,United Labels,DE0005489561,ULCG,United Labels | DE0005489561
germany,United Power Tech,DE000A1EMAK2,UP7G,United Power Tech | DE000A1EMAK2
germany,USU Software AG,DE000A0BVU28,OSPGk,USU Software AG | DE000A0BVU28
germany,Villeroy&Boch AG,DE0007657231,VIBG_p,Villeroy&Boch AG | DE0007657231
germany,Vita 34 AG,DE000A0BL849,V3VGn,Vita 34 AG | DE000A0BL849
germany,WashTec AG,DE0007507501,WSUG,WashTec AG | DE0007507501
germany,Westag&Getalit ST,DE0007775207,WUGG,Westag&Getalit ST | DE0007775207
germany,Westag&Getalit VZO,DE0007775231,WUGG_p,Westag&Getalit VZO | DE0007775231
germany,Wilex AG,DE000A11QVV0,WL6G,Wilex AG | DE000A11QVV0
germany,Yoc AG,DE0005932735,YOCG,Yoc AG | DE0005932735
germany,Youbisheng Green,DE000A2BPG14,AMA1,Youbisheng Green | DE000A2BPG14
germany,Zhongde Waste,DE000ZDWT018,ZEFG,Zhongde Waste | DE000ZDWT018
germany,Verbio Vereinigte,DE000A0JL9W6,VBKG,Verbio Vereinigte | DE000A0JL9W6
germany,Gerry Weber,DE000A255G36,GWI2k,Gerry Weber | DE000A255G36
germany,SMA Solar AG,DE000A0DJ6J9,S92G,SMA Solar AG | DE000A0DJ6J9
germany,Tom Tailor AG,DE000A0STST2,TTIGn,Tom Tailor AG | DE000A0STST2
germany,Deutsche Wohnen,DE000A0HN5C6,DWNG,Deutsche Wohnen | DE000A0HN5C6
germany,MTU Aero,DE000A0D9PT0,MTXGn,MTU Aero | DE000A0D9PT0
germany,Volkswagen VZO,DE0007664039,VOWG_p,Volkswagen VZO | DE0007664039
germany,Vonovia,DE000A1ML7J1,VNAn,Vonovia | DE000A1ML7J1
germany,Covestro,DE0006062144,1COV,Covestro | DE0006062144
germany,Hamburger Hafen A-SP,DE000A0S8488,HHFAd,Hamburger Hafen A-SP | DE000A0S8488
germany,Fuchs Petrolub AG,DE0005790406,FPEG,Fuchs Petrolub AG | DE0005790406
germany,Deutsche Euroshop AG,DE0007480204,DEQGn,Deutsche Euroshop AG | DE0007480204
germany,Fielmann AG,DE0005772206,FIEG,Fielmann AG | DE0005772206
germany,MLP AG,DE0006569908,MLPG,MLP AG | DE0006569908
germany,Kuka AG,DE0006204407,KU2G,Kuka AG | DE0006204407
germany,MVV Energie AG,DE000A0H52F5,MVVGn,MVV Energie AG | DE000A0H52F5
germany,Duerr AG,DE0005565204,DUEG,Duerr AG | DE0005565204
germany,Bertrandt AG,DE0005232805,BDTG,Bertrandt AG | DE0005232805
germany,Axel Springer,DE0005501357,SPRGn,Axel Springer | DE0005501357
